Algorithm Type,random 5000,random 10000,random 50000,sorted 5000,sorted 10000,sorted 50000,reversed 5000,reversed 10000
sort 1,0.054,0.173,7.145,0.02,0.047,5.185,0.226,8.161
sort 2,0.022,0.044,3.804,0.02,0.05,3.385,0.043,4.742
sort 3,0.059,0.115,4.216,0.049,0.042,5.76,0.119,4.678
