Algorithm Type,random 5000,random 10000,random 50000,sorted 5000,sorted 10000,sorted 50000,reversed 5000,reversed 10000
sort 1,0.019,0.029,0.189,0.018,0.166,0.019,0.041,0.174
sort 2,0.017,0.017,0.168,0.018,0.165,0.018,0.033,0.174
sort 3,0.019,0.035,0.173,0.02,0.037,0.017,0.036,0.174
